Employee ID,Training Date,Training Program Name,Training Type,Training Outcome,Location,Trainer,Training Duration(Days),Training Cost
1034,10-Nov-22,Leadership Development,Internal,Failed,Lake Anthony,Cynthia Brown,1,570.62
1035,11-Mar-23,Communication Skills,Internal,Completed,New Nancy,Joseph Mendoza,2,724.14
1036,10-Dec-22,Customer Service,External,Failed,Michaelmouth,Laura Gonzalez,3,305.98
1037,25-Oct-22,Leadership Development,Internal,Failed,North Stephanie,Alexandra Hall,2,646.76
1038,28-Jul-23,Customer Service,External,Failed,Jamesland,Eric Davis,2,516.89
1039,24-Jan-23,Customer Service,External,Passed,East Williamport,Heather Silva,5,520.41
1040,01-Dec-22,Technical Skills,Internal,Completed,Robertsmouth,Robert Johnson,5,712.84
1041,07-Mar-23,Customer Service,Internal,Completed,Reesefurt,Taylor Baker,3,871.12
1042,05-Oct-22,Project Management,Internal,Passed,New Jesusfort,Brian Maynard,1,228.11
1043,10-Aug-22,Communication Skills,External,Completed,West Danielside,Todd Mason,2,289.93
1044,13-Sep-22,Technical Skills,External,Incomplete,Smithborough,Stephanie Navarro,4,920.78
1045,11-Jun-23,Customer Service,External,Completed,West Josephport,Jay Wilkins,2,690.41
1046,28-Jul-23,Leadership Development,Internal,Failed,Lake Jose,Jason Morgan,2,211.39
1047,27-Nov-22,Project Management,Internal,Passed,Smithland,James Phelps,2,606.63
1048,02-Dec-22,Leadership Development,Internal,Completed,Powelltown,Ronald Rivera,5,503.99
1049,20-Nov-22,Leadership Development,Internal,Completed,Gonzalezfort,Dr. Patricia Johnson,2,518.54
1050,03-Aug-23,Customer Service,Internal,Completed,Samanthaport,James Reed,1,846.43
1051,13-Oct-22,Leadership Development,Internal,Passed,Hardingfort,Mark Morgan,3,572.94
1052,25-Oct-22,Communication Skills,Internal,Incomplete,Larryview,Robin Becker,4,234.76
1053,19-Dec-22,Communication Skills,External,Passed,Valdezfort,Erika Roberts,4,704.7
1054,04-Nov-22,Technical Skills,External,Failed,Tammyfurt,Cynthia Porter,3,533.97
1055,15-Nov-22,Customer Service,Internal,Passed,West Robert,Anna Petty,2,125.7
1056,16-Feb-23,Leadership Development,Internal,Completed,South Julieville,Julie Cole,2,442.06
1057,23-Oct-22,Project Management,Internal,Failed,East Amanda,Andrew Herrera,4,649.23
1058,01-Apr-23,Project Management,External,Incomplete,South Jesusport,Amanda Christian,1,855.67
1059,16-Sep-22,Technical Skills,Internal,Incomplete,Brianville,Victoria Vasquez,3,256.82
1060,06-Sep-22,Project Management,Internal,Completed,East Andres,Cindy Schultz,1,770.84
1061,01-Aug-23,Project Management,Internal,Incomplete,Paigefurt,Nathan Mitchell,2,862.33
1062,27-Nov-22,Technical Skills,Internal,Failed,Carolinemouth,Taylor Barron,5,702.84
1063,15-Oct-22,Technical Skills,Internal,Completed,Onealland,Eric Harris,1,523.82
1064,06-Oct-22,Leadership Development,External,Passed,South Charlene,Jacqueline Barton,1,819.86
1065,09-Dec-22,Technical Skills,External,Passed,East Leah,Kara Frazier MD,4,486.01
1066,14-Jun-23,Communication Skills,Internal,Completed,Brandonberg,Travis Knox,5,769.42
1067,24-Jun-23,Project Management,External,Completed,Toddtown,Joseph Long,5,857.65
1068,06-Nov-22,Communication Skills,External,Completed,Richardmouth,Ashley Wright,1,238.27
1069,22-Aug-22,Communication Skills,Internal,Failed,South Angelaview,Brandi Petersen,5,886.06
1070,14-Jan-23,Technical Skills,Internal,Failed,Robertside,Zachary Wilson,1,943.8
1071,16-Mar-23,Communication Skills,Internal,Completed,Johnport,Amanda Medina,5,234.26
1072,19-May-23,Technical Skills,Internal,Passed,Mendozamouth,Melissa Campos,5,179.91
1073,03-Oct-22,Project Management,Internal,Failed,Ivanburgh,Ryan Hunter,4,306.3
1074,07-Jul-23,Project Management,Internal,Passed,Davisberg,Ashley Garrett,5,103.42
1075,16-May-23,Project Management,Internal,Passed,East Darryl,Ronald Ortiz,4,573.29
1076,07-Nov-22,Technical Skills,External,Incomplete,Jamieville,Becky Hebert,4,619.61
1077,21-Dec-22,Project Management,Internal,Incomplete,West Brookechester,Joshua Kirk,1,947.17
1078,24-Mar-23,Project Management,External,Passed,Villanuevaborough,Patrick Bryant,1,597.64
1079,15-Apr-23,Communication Skills,External,Incomplete,North Jon,Maria Jones,5,861.1
1080,22-Apr-23,Customer Service,External,Passed,Mcleanburgh,Sandra Joseph,4,199.14
1081,05-Jun-23,Communication Skills,External,Failed,Brandonview,Samuel Wilson,3,526.08
1082,22-Apr-23,Customer Service,External,Incomplete,New Colinfort,Angela Colon,5,662.15
1083,18-Nov-22,Project Management,External,Completed,North Brandy,Molly Hughes,4,869.89
1084,17-Dec-22,Leadership Development,External,Completed,West Jessicatown,Morgan Thomas,3,295.4
1085,01-Nov-22,Customer Service,External,Passed,East Katherinetown,Bradley Petersen,5,993.13
1086,15-Jul-23,Leadership Development,External,Completed,East Robertside,Patrick Andrews,2,641.69
1087,10-May-23,Technical Skills,Internal,Incomplete,Heatherview,Ryan Crawford,5,197.34
1088,17-May-23,Leadership Development,External,Failed,North Elizabeth,Keith Richardson,2,235.15
1089,27-May-23,Technical Skills,Internal,Passed,North Amanda,Jasmin Walker,2,697.28
1090,21-Mar-23,Communication Skills,External,Completed,Wrightton,Tracy Sanchez,1,910.33
1091,20-Oct-22,Customer Service,Internal,Incomplete,Port Patricia,Jennifer Bailey,2,213.91
1092,20-Sep-22,Communication Skills,Internal,Completed,Wilkinsfurt,Heather Gutierrez,5,971.46
1093,07-Jul-23,Customer Service,External,Failed,West Matthew,George Burns,5,995.52
1094,18-Aug-22,Communication Skills,Internal,Failed,South Joshuatown,Richard Mckee,4,161.4
1095,17-Aug-22,Customer Service,Internal,Passed,New Kimberly,Jeremy Schneider,4,715.87
1096,25-Sep-22,Technical Skills,External,Incomplete,Alexandriachester,Adam Robinson,5,778.25
1097,11-Aug-22,Customer Service,Internal,Completed,Port Danielmouth,Ryan Bradley,1,609.5
1098,13-May-23,Leadership Development,External,Failed,Rachelshire,Kimberly Smith,5,666.67
1099,30-Oct-22,Project Management,External,Incomplete,Arthurmouth,Linda Carter,5,797.05
1100,25-Feb-23,Communication Skills,External,Completed,Brownmouth,Sarah Cain,3,518.56
1101,31-Mar-23,Communication Skills,Internal,Passed,Osbornfort,Matthew Mason,5,426.82
1102,31-Dec-22,Project Management,External,Failed,Taylorburgh,Timothy Freeman,2,150.04
1103,05-Jul-23,Leadership Development,External,Passed,Hoffmanview,Richard Johnson,3,308.21
1104,11-Aug-22,Communication Skills,Internal,Completed,West Joel,Gloria Phillips,4,766.77
1105,17-Jan-23,Technical Skills,Internal,Incomplete,Lake Heidi,Sarah Payne,4,172.19
1106,31-Oct-22,Project Management,Internal,Completed,Port Jacob,Amber Taylor,1,742.55
1107,26-Jan-23,Technical Skills,Internal,Failed,West Lisafort,Isaac Burke,2,231.28
1108,23-May-23,Customer Service,Internal,Completed,Ricardoberg,Shane Short,5,124.54
1109,21-Jan-23,Leadership Development,External,Completed,South Ericburgh,Walter Frazier,5,898.37
1110,13-Oct-22,Customer Service,Internal,Passed,Webbmouth,Theodore Robles,2,764.36
1111,05-Dec-22,Project Management,Internal,Failed,Davilatown,Brendan Holmes,5,786.57
1112,30-Sep-22,Communication Skills,Internal,Failed,Delgadoshire,Eric Davis,3,668.05
1113,20-Jan-23,Technical Skills,External,Incomplete,Lake Eileenfurt,Brittany Jones,2,956.92
1114,25-Feb-23,Communication Skills,Internal,Incomplete,Jesusland,Darren Huynh,1,912.27
1115,19-May-23,Customer Service,Internal,Incomplete,Aguirreland,Brenda Martinez,4,881.71
1116,16-May-23,Communication Skills,Internal,Incomplete,Kempmouth,Ms. Jeanette Webster DDS,4,557.68
1117,12-Jan-23,Communication Skills,Internal,Completed,Lake Emily,Ashley Jensen,4,271.68
1118,16-Dec-22,Communication Skills,External,Completed,North Whitney,Patricia Morris,2,299.68
1119,08-Jul-23,Communication Skills,Internal,Incomplete,Kaylaburgh,John Williams,5,440.28
1120,10-Mar-23,Leadership Development,Internal,Incomplete,Swansonstad,Joshua Bell,4,553.83
1121,19-Sep-22,Leadership Development,Internal,Failed,Richardfurt,George Brown,1,428.9
1122,21-Jan-23,Communication Skills,Internal,Passed,Allentown,Jessica Hodges,3,444.4
1123,31-Jan-23,Project Management,Internal,Completed,Port Misty,Robert Young,4,254.38
1124,03-Nov-22,Communication Skills,Internal,Failed,Jennyport,Derek Harrell,1,256.21
1125,14-Dec-22,Communication Skills,Internal,Incomplete,New Gregory,Darren Mccarthy,2,756.19
1126,29-Jul-23,Technical Skills,Internal,Failed,North Benjaminstad,William Farrell,4,500.45
1127,04-Sep-22,Communication Skills,External,Incomplete,New Waynehaven,Melissa Miles,2,500.83
1128,17-May-23,Communication Skills,Internal,Incomplete,New Cory,James Perez,1,773.8
1129,11-Sep-22,Technical Skills,Internal,Passed,Ashleyton,Chad Mccall,2,768.06
1130,09-Nov-22,Leadership Development,External,Completed,Bellport,Mr. Brandon Turner,3,777.7
1131,31-Mar-23,Customer Service,Internal,Incomplete,Garnerhaven,Benjamin Briggs,2,943.05
1132,27-Sep-22,Communication Skills,Internal,Passed,Robertsburgh,Amber Harris MD,4,475.91
1133,19-Aug-22,Customer Service,External,Passed,Blakeshire,Richard Ross,3,107.14
1134,09-Dec-22,Communication Skills,External,Passed,Robertshire,Carolyn Deleon,1,271.49
1135,22-Mar-23,Project Management,Internal,Passed,West Caitlinport,Andrew Jordan,2,524.23
1136,25-Dec-22,Customer Service,External,Completed,Brittanyberg,Danny Smith,3,535.88
1137,09-Sep-22,Communication Skills,Internal,Passed,Rothville,Monique Williams DVM,5,270.92
1138,10-Sep-22,Customer Service,Internal,Failed,Cohenmouth,Stacy Fisher,4,155.14
1139,01-Oct-22,Customer Service,External,Completed,Port Brandon,Stephanie Hill,1,930.06
1140,27-Sep-22,Customer Service,Internal,Passed,West Michael,Shawn Martin,1,949.81
1141,17-May-23,Technical Skills,Internal,Incomplete,Josephport,Ellen Anderson,1,635.31
1142,17-Jul-23,Leadership Development,External,Completed,Mistyton,Molly Scott,3,675.04
1143,20-Dec-22,Customer Service,Internal,Failed,Geraldmouth,Scott Nelson,3,563.38
1144,10-Jan-23,Communication Skills,External,Completed,Cherylland,Nicholas Thompson,4,750.25
1145,15-Nov-22,Technical Skills,Internal,Incomplete,North Madelineville,Teresa Lee,2,401.53
1146,28-Jun-23,Technical Skills,External,Failed,East Elizabeth,Andrew Hendricks,3,894.88
1147,25-Jan-23,Leadership Development,Internal,Failed,Lake Dianeton,Ms. Diamond Knox,2,247.58
1148,01-Sep-22,Communication Skills,External,Passed,West Danieltown,Tamara Lee,3,529
1149,31-Jul-23,Leadership Development,External,Failed,East Nicolefort,Michael Roberts,5,483.99
1150,03-Jun-23,Project Management,External,Incomplete,Simmonston,Heather Murillo,5,797.35
1151,19-Dec-22,Project Management,External,Passed,New Ronald,Christopher Perry,4,707.59
1152,29-Mar-23,Customer Service,External,Incomplete,Taraland,Kelly Golden,2,564.48
1153,02-Dec-22,Communication Skills,Internal,Failed,Jesusmouth,Kyle Hernandez,4,555.35
1154,12-Aug-22,Customer Service,Internal,Incomplete,West Sandra,Danielle Decker,3,338.48
1155,10-Sep-22,Technical Skills,Internal,Failed,Port Peggyberg,Michael Price,1,339.01
1156,04-Sep-22,Customer Service,Internal,Incomplete,North Kayla,Michael Williams,5,939.49
1157,11-Oct-22,Technical Skills,External,Passed,Jamiestad,Jeffery Brown,1,276.47
1158,14-Sep-22,Customer Service,External,Completed,South Stephen,Grant Rodriguez,3,154.71
1159,27-Dec-22,Leadership Development,External,Failed,Diazside,Mrs. Elizabeth Murray DDS,3,674.24
1160,07-Nov-22,Leadership Development,External,Failed,Lake Nancyshire,Susan Myers,2,137.96
1161,13-Nov-22,Technical Skills,Internal,Passed,Port Charleneborough,Jeffrey Hester,5,926.85
1162,02-Sep-22,Communication Skills,External,Incomplete,Port Michelle,Jose Boyd,1,846.55
1163,23-Feb-23,Communication Skills,External,Passed,Wrightfort,Robin Morgan,3,734.77
1164,01-Mar-23,Technical Skills,Internal,Incomplete,New Juanville,Anne Goodman,3,315.09
1165,27-Sep-22,Communication Skills,Internal,Passed,Nguyenberg,Carlos Wilson,3,686.05
1166,10-Aug-22,Communication Skills,External,Passed,New Claytonville,Christina Waters,4,942.51
1167,23-Feb-23,Project Management,Internal,Failed,Nicolechester,Paul James,4,782.82
1168,02-Sep-22,Project Management,Internal,Failed,Port Dawn,Austin Gonzalez,1,370.64
1169,30-Jun-23,Technical Skills,Internal,Incomplete,Eduardostad,Joshua Salas,1,487.66
1170,04-Aug-23,Communication Skills,External,Incomplete,Christopherport,Andrew Wright,1,179.85
1171,07-Sep-22,Project Management,Internal,Completed,Perryside,Amanda Richardson,1,294.74
1172,30-Mar-23,Communication Skills,External,Passed,North Christina,Jessica Odom,5,202.09
1173,09-Feb-23,Customer Service,Internal,Passed,Brownington,Penny Stevenson,4,901.42
1174,12-May-23,Project Management,External,Incomplete,North Angelahaven,Cindy King,3,454.23
1175,04-Jan-23,Project Management,Internal,Passed,Duffyport,Richard Adkins,3,460.39
1176,14-Feb-23,Leadership Development,Internal,Completed,East Karen,Jessica Taylor,2,644.72
1177,17-Sep-22,Customer Service,External,Passed,New Joseph,Mark Perez,3,436.86
1178,21-Dec-22,Project Management,External,Failed,Gomezville,Christopher Whitehead,1,361.52
1179,11-Feb-23,Technical Skills,Internal,Passed,Thompsonport,Jackson Stanley,2,229.05
1180,17-Nov-22,Technical Skills,Internal,Completed,Thompsonfort,Paul Terry,3,787.85
1181,31-Dec-22,Communication Skills,External,Incomplete,Sullivanland,Jessica Quinn,1,483.82
1182,19-Oct-22,Communication Skills,External,Passed,West Elizabethfurt,Miranda Brown,5,623.64
1183,16-Jul-23,Technical Skills,Internal,Incomplete,Silvaview,Jennifer Beasley,4,351.35
1184,31-Jan-23,Customer Service,Internal,Completed,Deniseville,Mary Coleman,3,512.51
1185,22-Sep-22,Project Management,Internal,Failed,North Jason,James Larson,5,957.9
1186,12-Jun-23,Communication Skills,External,Failed,Port John,Renee Calderon,5,886.45
1187,25-Oct-22,Communication Skills,Internal,Incomplete,Acevedoshire,Margaret Martinez,4,443.55
1188,07-Jan-23,Technical Skills,Internal,Passed,Martinburgh,Justin Soto,4,899.13
1189,20-Sep-22,Communication Skills,External,Completed,Cabreramouth,Angela Hammond,1,202.74
1190,21-May-23,Project Management,External,Failed,Phillipsfurt,Debbie Miller,4,727.81
1191,23-Sep-22,Customer Service,Internal,Completed,Lake Benjamin,Kenneth Kim,2,820.39
1192,11-Oct-22,Leadership Development,External,Passed,Smithbury,Amber Gonzalez,4,111.94
1193,05-May-23,Technical Skills,External,Failed,North Victorstad,Amy Bush,1,231.96
1194,07-May-23,Communication Skills,Internal,Completed,Floresville,Kevin Welch,2,430.92
1195,06-Jul-23,Technical Skills,Internal,Failed,East Jason,Autumn Harris,3,638.7
1196,28-Feb-23,Communication Skills,Internal,Completed,New Caroline,Jeffrey Marshall,5,355.3
1197,25-Feb-23,Technical Skills,Internal,Passed,Debramouth,Alan Hall,5,575.1
1198,19-Jun-23,Project Management,Internal,Failed,North Yvonne,Jennifer Hayes,1,140.82
1199,28-Nov-22,Leadership Development,External,Passed,Claytonstad,Christopher Owen,2,663.19
1200,29-Jul-23,Project Management,Internal,Incomplete,South Brendabury,Zachary Alvarez,2,996.77
1201,10-Oct-22,Communication Skills,External,Passed,Edwardborough,Paul Henderson,2,145.39
1202,08-Dec-22,Technical Skills,Internal,Incomplete,Connerborough,Kelly Thompson DDS,1,344.74
1203,12-Oct-22,Project Management,External,Incomplete,Ramirezville,Jennifer Miller,5,308.09
1204,16-Jul-23,Project Management,External,Incomplete,Isaiahview,Courtney Mendez,1,610.96
1205,01-Aug-23,Communication Skills,External,Failed,East Loriberg,Nicole Kelley,3,201.83
1206,20-Jul-23,Technical Skills,Internal,Passed,Smithstad,Jackie Johnson,5,391.85
1207,07-Dec-22,Communication Skills,Internal,Completed,East Michaelfort,Kathryn Stephens,5,682.36
1208,20-Sep-22,Leadership Development,Internal,Passed,Josephside,Sean Jones,3,492.39
1209,18-Jun-23,Communication Skills,External,Failed,Kruegerville,Emily Pierce,2,197.78
1210,09-Jan-23,Leadership Development,External,Incomplete,Port Cynthia,Thomas Baker,4,485.44
1211,30-Jul-23,Leadership Development,External,Passed,South Robinhaven,Kendra Rodriguez,3,557.34
1212,03-May-23,Project Management,Internal,Failed,East Frank,Kimberly May,5,817.92
1213,15-Feb-23,Project Management,External,Failed,Johnsonton,Katelyn Ruiz,4,485.39
1214,02-Apr-23,Customer Service,Internal,Completed,West Jessica,Bobby Stuart,3,145.13
1215,13-Sep-22,Communication Skills,External,Passed,West Dianashire,Brian Thompson,4,751.88
1216,16-Jul-23,Leadership Development,External,Incomplete,Roweport,Carolyn Hamilton,1,136.48
1217,17-Apr-23,Customer Service,External,Completed,Jeremytown,Eric Clark,1,857.42
1218,30-Jan-23,Leadership Development,Internal,Failed,Henryberg,Erica Winters,3,733.16
1219,15-Sep-22,Communication Skills,External,Failed,West Kevintown,Steven Gutierrez,5,761.31
1220,29-Jun-23,Leadership Development,External,Passed,West Brittney,Johnathan Doyle,1,920.41
1221,25-Aug-22,Customer Service,Internal,Passed,Bonnieborough,Linda Wood,4,167.69
1222,10-Mar-23,Leadership Development,External,Passed,New Jennifer,Melanie Johnson,2,931.45
1223,30-Aug-22,Project Management,External,Completed,Estradahaven,Daniel Harrison,1,474.36
1224,18-Mar-23,Project Management,Internal,Incomplete,Port Eric,Jeffrey Harvey,5,598.72
1225,14-Aug-22,Customer Service,Internal,Completed,Brownland,Douglas Norton,5,557.02
1226,20-May-23,Customer Service,Internal,Completed,Savageton,Lisa Hall,3,939.92
1227,15-May-23,Communication Skills,External,Failed,Amandahaven,Gregory Pratt,3,669.19
1228,05-Oct-22,Technical Skills,Internal,Failed,Dustinshire,Bethany Willis,5,525.69
1229,11-Jan-23,Customer Service,External,Failed,Lake Melissa,Angela Moore,1,173.66
1230,30-Apr-23,Communication Skills,External,Completed,New Reneefurt,Emily Tate,1,635.71
1231,06-Aug-22,Project Management,External,Passed,Port Aliciaview,Douglas Dean,1,896.8
1232,30-Nov-22,Leadership Development,Internal,Incomplete,East Katieport,Jill Fox DVM,4,857.61
1233,29-Nov-22,Customer Service,Internal,Failed,Robertfurt,Jennifer Turner MD,3,460.59
1234,19-Feb-23,Leadership Development,Internal,Passed,Meganside,Michael Butler,1,504.82
1235,10-Apr-23,Project Management,Internal,Failed,Cookebury,Roberto Brennan,3,737.91
1236,17-Apr-23,Customer Service,External,Passed,Williamsbury,Gerald Wilson,2,244.25
1237,11-Nov-22,Leadership Development,External,Passed,Cervantesshire,Catherine Henderson,2,762.82
1238,14-Nov-22,Leadership Development,Internal,Incomplete,West Marialand,Vanessa Valdez,2,640.14
1239,28-Apr-23,Project Management,Internal,Incomplete,East Alyssa,Melanie Middleton,3,726.03
1240,04-Jan-23,Communication Skills,External,Passed,East Nicoletown,Stacy Morton,5,758.75
1241,01-Feb-23,Project Management,External,Failed,Lewismouth,Susan Johnson,5,878.94
1242,14-Mar-23,Project Management,External,Passed,East Chaseside,Daniel Holt,3,227.9
1243,05-Feb-23,Communication Skills,Internal,Incomplete,Ericmouth,Christopher Jones,3,855.27
1244,18-Feb-23,Technical Skills,External,Incomplete,Mcmahonton,Charles Farrell,5,170.62
1245,29-Jun-23,Communication Skills,Internal,Incomplete,Hallton,Garrett Johnson,4,392.14
1246,25-Dec-22,Communication Skills,Internal,Completed,Joneston,Kathleen Dixon,1,206.93
1247,09-Dec-22,Customer Service,External,Completed,East Michaelside,Stephanie Bruce,5,307.13
1248,24-Aug-22,Communication Skills,Internal,Passed,Ellisonchester,Nicholas Ryan,4,165.05
1249,15-Aug-22,Communication Skills,Internal,Completed,Cruzmouth,Cheyenne Rice,4,371.27
1250,28-Apr-23,Communication Skills,External,Incomplete,Margaretmouth,Anna Floyd,3,366.78
1251,04-Feb-23,Communication Skills,External,Failed,Nancyside,Wyatt Hansen,5,205.92
1252,20-Nov-22,Leadership Development,Internal,Completed,South Brent,Alicia Moore,1,314.51
1253,03-Jun-23,Customer Service,Internal,Completed,South Cynthia,Jodi Gibson DDS,2,793.86
1254,20-Apr-23,Project Management,Internal,Passed,Allisonport,Ryan Adkins,3,252.53
1255,23-Oct-22,Customer Service,External,Passed,West Laurafort,Jasmin Flynn,2,693.25
1256,26-May-23,Project Management,Internal,Completed,Lake Derekburgh,Kenneth Rodriguez,4,926.76
1257,23-May-23,Technical Skills,Internal,Failed,New Elizabethton,Ryan King,1,694.61
1258,30-Jun-23,Project Management,Internal,Incomplete,Alyssabury,Cody Brown,1,732.02
1259,04-Jan-23,Leadership Development,Internal,Completed,Port Troyton,Wayne Morgan,1,897.62
1260,21-Nov-22,Leadership Development,Internal,Completed,Port Rachelshire,Michael Smith,2,786.57
1261,26-Jul-23,Project Management,External,Incomplete,Thompsonberg,Alicia Dunn,3,613.93
1262,17-Jan-23,Communication Skills,Internal,Passed,Lake Nancy,Donald Gregory,2,711.8
1263,03-Mar-23,Communication Skills,Internal,Failed,Port Jason,Larry Yang,5,784.1
1264,16-May-23,Customer Service,Internal,Failed,Port Jameschester,Alexandra Riley,5,509.67
1265,15-Jun-23,Leadership Development,Internal,Incomplete,Rebeccamouth,Stephen Mcdonald,4,494.96
1266,30-Mar-23,Project Management,Internal,Incomplete,East Christopher,Melissa Brown,5,465.72
1267,27-Feb-23,Technical Skills,Internal,Failed,Lewisview,Paul Martin,1,507.43
1268,25-May-23,Project Management,External,Passed,North Duanemouth,Stephanie Anderson,5,401.97
1269,23-Dec-22,Customer Service,External,Passed,Lake Kevin,Tommy Wilson,4,813.9
1270,21-Aug-22,Leadership Development,External,Completed,South Michael,Carrie Anderson,2,360.02
1271,15-Feb-23,Customer Service,Internal,Completed,North Sheila,Gina White,3,692.71
1272,24-Feb-23,Technical Skills,Internal,Failed,Jonesside,Michelle Holmes,3,233.12
1273,24-May-23,Technical Skills,External,Incomplete,New Seanberg,Sharon Park,1,881.48
1274,22-May-23,Project Management,Internal,Passed,West Deanna,Curtis Price,2,448.48
1275,13-Jun-23,Communication Skills,External,Incomplete,Port Michellechester,Amber Church,3,288.88
1276,15-Jul-23,Communication Skills,Internal,Failed,East Katherine,Chris Clark,1,572.45
1277,27-Mar-23,Communication Skills,Internal,Passed,Reneeshire,Sandra Russell,3,141.38
1278,04-Feb-23,Technical Skills,Internal,Incomplete,Lake Bryan,Donna Barr,1,331.46
1279,23-Nov-22,Technical Skills,Internal,Incomplete,New Rachelfort,Jose Mcdaniel,4,704.93
1280,08-Jun-23,Leadership Development,External,Completed,Evanhaven,Robert Novak,4,450.65
1281,31-Jan-23,Project Management,External,Completed,Andrewsfurt,Sarah Walker,3,775.97
1282,20-Feb-23,Leadership Development,External,Passed,Glennberg,Jasmine Conner,4,376
1283,17-Jan-23,Customer Service,External,Failed,Christopherport,Karen Thomas,2,106.54
1284,10-Nov-22,Communication Skills,External,Completed,New Johnstad,Richard Rogers,1,852.87
1285,08-Nov-22,Project Management,External,Completed,Port Robertmouth,Jessica Wallace,4,469.03
1286,28-May-23,Customer Service,Internal,Incomplete,West John,Shannon Taylor,2,274.85
1287,31-Mar-23,Technical Skills,External,Completed,Patrickfort,Charles Olson,1,342.57
1288,13-May-23,Technical Skills,External,Incomplete,North Danielle,Dana Neal,5,948.31
1289,08-Oct-22,Leadership Development,Internal,Incomplete,Campbellmouth,Steven Sanchez,3,900.52
1290,14-May-23,Leadership Development,External,Completed,East Denisechester,Alyssa Williams,4,140.72
1291,12-Sep-22,Technical Skills,Internal,Passed,Williamburgh,Leslie Clark,3,913.62
1292,22-Feb-23,Customer Service,Internal,Completed,Jessicatown,Stephanie Johnson,5,950.3
1293,12-Mar-23,Project Management,Internal,Passed,Martinton,Cynthia Patton,2,668.77
1294,15-Aug-22,Technical Skills,Internal,Passed,Michellemouth,Robin Lewis,3,906.05
1295,03-Jan-23,Communication Skills,Internal,Incomplete,Starkmouth,Timothy Santos,5,689.77
1296,05-Mar-23,Communication Skills,External,Passed,Clarkfort,Michael Gray,2,694.27
1297,14-Jun-23,Project Management,External,Passed,New Joshuaton,Penny Lopez,3,352.75
1298,16-May-23,Project Management,Internal,Passed,Dudleyfurt,Kayla Cruz,3,411.17
1299,21-Jan-23,Project Management,External,Completed,Atkinsonborough,Karen Ritter,3,358.81
1300,29-Apr-23,Technical Skills,Internal,Passed,Greentown,Jose Young,4,588.64
